GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo-project-legacy,com.example.myapplication,SecondFragment,42,0,0,0,12,0,6,0,6,0
demo-project-legacy,com.example.myapplication,FirstFragment,6,36,0,0,2,10,1,5,1,5
demo-project-legacy,com.example.myapplication,MainActivity,29,51,4,0,6,10,4,2,2,2
demo-project-legacy,com.example.login.databinding,ActivityLoginBinding,109,0,10,0,34,0,10,0,5,0
demo-project-legacy,com.example.domain,MyUseCase,0,5,0,0,0,2,0,2,0,2
demo-project-legacy,com.example.login.ui.login,LoginViewModel,147,0,12,0,21,0,13,0,7,0
demo-project-legacy,com.example.login.ui.login,LoginActivityKt.afterTextChanged.new TextWatcher() {...},12,0,0,0,5,0,4,0,4,0
demo-project-legacy,com.example.login.ui.login,LoginActivityKt,8,0,0,0,2,0,1,0,1,0
demo-project-legacy,com.example.login.ui.login,LoggedInUserView,9,0,0,0,2,0,2,0,2,0
demo-project-legacy,com.example.login.ui.login,LoginFormState,42,0,0,0,5,0,5,0,5,0
demo-project-legacy,com.example.login.ui.login,LoginActivity,266,0,14,0,62,0,17,0,10,0
demo-project-legacy,com.example.login.ui.login,LoginResult,30,0,0,0,4,0,4,0,4,0
demo-project-legacy,com.example.login.ui.login,LoginViewModelFactory,23,0,2,0,6,0,3,0,2,0
demo-project-legacy,com.example.login.ui.data,Result.Error,10,0,0,0,1,0,2,0,2,0
demo-project-legacy,com.example.login.ui.data,Result,18,0,2,0,3,0,2,0,1,0
demo-project-legacy,com.example.login.ui.data,Result.Success,0,10,0,0,0,1,0,2,0,2
demo-project-legacy,com.example.login.ui.data,LoginDataSource,13,20,0,0,3,4,1,2,1,2
demo-project-legacy,com.example.login.ui.data,LoginRepository,52,0,4,0,15,0,9,0,7,0
demo-project-legacy,com.example.login.ui.data.model,LoggedInUser,3,12,0,0,0,3,1,2,1,2
demo-project-legacy,com.example.myapplication.databinding,FragmentSecondBinding,74,0,6,0,22,0,8,0,5,0
demo-project-legacy,com.example.myapplication.databinding,ActivityMainBinding,17,57,3,3,5,17,3,5,0,5
demo-project-legacy,com.example.myapplication.databinding,FragmentFirstBinding,22,52,3,3,6,16,4,4,1,4
