GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aggregatedTestCoverageReport/:demo-project:app:prodDebug,com.example.myapplication,SecondFragment,42,0,0,0,12,0,6,0,6,0
aggregatedTestCoverageReport/:demo-project:app:prodDebug,com.example.myapplication,MainActivity,80,0,4,0,16,0,6,0,4,0
aggregatedTestCoverageReport/:demo-project:app:prodDebug,com.example.myapplication,FirstFragment,42,0,0,0,12,0,6,0,6,0
aggregatedTestCoverageReport/:demo-project:app:prodDebug,com.example.myapplication.databinding,ContentMainBinding,60,0,4,0,17,0,7,0,5,0
aggregatedTestCoverageReport/:demo-project:app:prodDebug,com.example.myapplication.databinding,ActivityMainBinding,74,0,6,0,22,0,8,0,5,0
aggregatedTestCoverageReport/:demo-project:app:prodDebug,com.example.myapplication.databinding,FragmentSecondBinding,74,0,6,0,22,0,8,0,5,0
aggregatedTestCoverageReport/:demo-project:app:prodDebug,com.example.myapplication.databinding,FragmentFirstBinding,74,0,6,0,22,0,8,0,5,0
aggregatedTestCoverageReport/:demo-project:app:stageDebug,com.example.myapplication,SecondFragment,42,0,0,0,12,0,6,0,6,0
aggregatedTestCoverageReport/:demo-project:app:stageDebug,com.example.myapplication,MainActivity,80,0,4,0,16,0,6,0,4,0
aggregatedTestCoverageReport/:demo-project:app:stageDebug,com.example.myapplication,FirstFragment,42,0,0,0,12,0,6,0,6,0
aggregatedTestCoverageReport/:demo-project:app:stageDebug,com.example.myapplication.databinding,ContentMainBinding,60,0,4,0,17,0,7,0,5,0
aggregatedTestCoverageReport/:demo-project:app:stageDebug,com.example.myapplication.databinding,ActivityMainBinding,74,0,6,0,22,0,8,0,5,0
aggregatedTestCoverageReport/:demo-project:app:stageDebug,com.example.myapplication.databinding,FragmentSecondBinding,74,0,6,0,22,0,8,0,5,0
aggregatedTestCoverageReport/:demo-project:app:stageDebug,com.example.myapplication.databinding,FragmentFirstBinding,74,0,6,0,22,0,8,0,5,0
aggregatedTestCoverageReport/:demo-project:domain:main,com.example.domain,MyUseCase,0,5,0,0,0,2,0,2,0,2
aggregatedTestCoverageReport/:demo-project:kmp:android,com.example.kmp,KMPObjectAndroid,0,5,0,0,0,1,0,2,0,2
aggregatedTestCoverageReport/:demo-project:kmp:android,com.example.kmp,KMPObject,0,5,0,0,0,1,0,2,0,2
aggregatedTestCoverageReport/:demo-project:kmp:android,com.example.kmp,MoshiObjAndroid,6,9,0,0,0,4,2,1,2,1
aggregatedTestCoverageReport/:demo-project:kmp:android,com.example.kmp,PlatformKt,0,5,0,0,0,1,0,2,0,2
aggregatedTestCoverageReport/:demo-project:kmp:jvm,com.example.kmp,KMPObject,0,5,0,0,0,1,0,2,0,2
aggregatedTestCoverageReport/:demo-project:kmp:jvm,com.example.kmp,MoshiObjJVM,15,0,0,0,4,0,3,0,3,0
aggregatedTestCoverageReport/:demo-project:kmp:jvm,com.example.kmp,KMPObjectJVM,0,5,0,0,0,1,0,2,0,2
aggregatedTestCoverageReport/:demo-project:kmp:jvm,com.example.kmp,PlatformKt,0,5,0,0,0,1,0,2,0,2
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.databinding,ActivityLoginBinding,109,0,10,0,34,0,10,0,5,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.login,LoginViewModel,147,0,12,0,21,0,13,0,7,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.login,LoginActivityKt.afterTextChanged.new TextWatcher() {...},12,0,0,0,5,0,4,0,4,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.login,LoginActivityKt,8,0,0,0,2,0,1,0,1,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.login,LoggedInUserView,9,0,0,0,2,0,2,0,2,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.login,LoginFormState,42,0,0,0,5,0,5,0,5,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.login,LoginActivity,266,0,14,0,62,0,17,0,10,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.login,LoginResult,30,0,0,0,4,0,4,0,4,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.login,LoginViewModelFactory,23,0,2,0,6,0,3,0,2,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.data,Result.Error,10,0,0,0,1,0,2,0,2,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.data,Result,18,0,2,0,3,0,2,0,1,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.data,Result.Success,0,10,0,0,0,1,0,2,0,2
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.data,LoginDataSource,13,20,0,0,3,4,1,2,1,2
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.data,LoginRepository,52,0,4,0,15,0,9,0,7,0
aggregatedTestCoverageReport/:demo-project:login:debug,com.example.login.ui.data.model,LoggedInUser,3,12,0,0,0,3,1,2,1,2
